date	y
2021-11-01	39849.02762
2021-12-01	37416.32051
2022-01-01	37644.62607
2022-02-01	43030.54797
2022-03-01	46167.09477
2022-04-01	42123.69758
2022-05-01	33767.53068
2022-06-01	29474.97824
2022-07-01	24718.4162
2022-08-01	27331.13356
2022-09-01	32744.63415
2022-10-01	41198.8465
2022-11-01	38679.53194
